"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"12.11.2018","visitors","","",1
"12.11.2018","gender","М","",1
"12.11.2018","age","24-27","",1
"12.11.2018","gender_age","М","24-27",1
"12.11.2018","cities","Усть-Илимск","",1
"12.11.2018","countries","Россия","",1
"10.11.2018","views","","",2
"10.11.2018","visitors","","",1
"10.11.2018","countries","Россия","",1
"09.11.2018","views","","",2
"09.11.2018","visitors","","",2
"09.11.2018","gender","Ж","",1
"09.11.2018","gender","М","",1
"09.11.2018","age","27-30","",1
"09.11.2018","age","45+","",1
"09.11.2018","gender_age","Ж","27-30",1
"09.11.2018","gender_age","М","45+",1
"09.11.2018","cities","Санкт-Петербург","",1
"09.11.2018","cities","Москва","",1
"09.11.2018","countries","Россия","",2
"08.11.2018","views","","",3
"08.11.2018","visitors","","",3
"08.11.2018","gender","Ж","",2
"08.11.2018","gender","М","",1
"08.11.2018","age","21-24","",1
"08.11.2018","age","30-35","",1
"08.11.2018","gender_age","Ж","21-24",1
"08.11.2018","gender_age","М","30-35",1
"08.11.2018","cities","Санкт-Петербург","",1
"08.11.2018","cities","Москва","",1
"08.11.2018","countries","Россия","",2
"08.11.2018","countries","Великобритания","",1
"07.11.2018","views","","",2
"07.11.2018","visitors","","",2
"07.11.2018","gender","Ж","",2
"07.11.2018","age","21-24","",1
"07.11.2018","gender_age","Ж","21-24",1
"07.11.2018","countries","Россия","",2
"02.11.2018","views","","",1
"02.11.2018","visitors","","",1
"02.11.2018","gender","Ж","",1
"02.11.2018","age","27-30","",1
"02.11.2018","gender_age","Ж","27-30",1
"02.11.2018","cities","Екатеринбург","",1
"02.11.2018","countries","Россия","",1
"01.11.2018","views","","",0
"01.11.2018","visitors","","",0
"01.11.2018","members","Новые участники","",1
"31.10.2018","views","","",4
"31.10.2018","visitors","","",2
"31.10.2018","gender","М","",2
"31.10.2018","age","24-27","",1
"31.10.2018","age","27-30","",1
"31.10.2018","gender_age","М","24-27",1
"31.10.2018","gender_age","М","27-30",1
"31.10.2018","cities","Санкт-Петербург","",1
"31.10.2018","countries","Россия","",2
"31.10.2018","sections","Фотоальбомы","",2
"30.10.2018","views","","",1
"30.10.2018","visitors","","",1
"30.10.2018","gender","Ж","",1
"30.10.2018","age","27-30","",1
"30.10.2018","gender_age","Ж","27-30",1
"30.10.2018","cities","Санкт-Петербург","",1
"30.10.2018","countries","Россия","",1
"29.10.2018","views","","",0
"29.10.2018","visitors","","",0
"29.10.2018","members","Новые участники","",1
"28.10.2018","views","","",1
"28.10.2018","visitors","","",1
"28.10.2018","gender","М","",1
"28.10.2018","age","35-45","",1
"28.10.2018","gender_age","М","35-45",1
"28.10.2018","countries","Россия","",1
"27.10.2018","views","","",1
"27.10.2018","visitors","","",1
"27.10.2018","gender","М","",1
"27.10.2018","age","18-21","",1
"27.10.2018","gender_age","М","18-21",1
"27.10.2018","cities","Санкт-Петербург","",1
"27.10.2018","countries","Россия","",1
"26.10.2018","views","","",0
"26.10.2018","visitors","","",0
"26.10.2018","members","Вышедшие участники","",1
"25.10.2018","views","","",3
"25.10.2018","visitors","","",2
"25.10.2018","gender","М","",2
"25.10.2018","age","18-21","",1
"25.10.2018","age","21-24","",1
"25.10.2018","gender_age","М","18-21",1
"25.10.2018","gender_age","М","21-24",1
"25.10.2018","cities","Санкт-Петербург","",2
"25.10.2018","countries","Россия","",2
"24.10.2018","views","","",3
"24.10.2018","visitors","","",2
"24.10.2018","gender","М","",2
"24.10.2018","age","18-21","",1
"24.10.2018","age","45+","",1
"24.10.2018","gender_age","М","18-21",1
"24.10.2018","gender_age","М","45+",1
"24.10.2018","cities","Санкт-Петербург","",1
"24.10.2018","countries","Россия","",1
"24.10.2018","countries","Казахстан","",1
"22.10.2018","views","","",1
"22.10.2018","visitors","","",1
"22.10.2018","gender","М","",1
"22.10.2018","age","35-45","",1
"22.10.2018","gender_age","М","35-45",1
"22.10.2018","cities","Раменское","",1
"22.10.2018","countries","Россия","",1
"21.10.2018","views","","",2
"21.10.2018","visitors","","",1
"21.10.2018","countries","Россия","",1
"20.10.2018","views","","",2
"20.10.2018","visitors","","",2
"20.10.2018","gender","Ж","",1
"20.10.2018","gender","М","",1
"20.10.2018","age","21-24","",1
"20.10.2018","age","45+","",1
"20.10.2018","gender_age","Ж","45+",1
"20.10.2018","gender_age","М","21-24",1
"20.10.2018","cities","Санкт-Петербург","",1
"20.10.2018","countries","Россия","",2
"19.10.2018","views","","",4
"19.10.2018","visitors","","",1
"19.10.2018","gender","М","",1
"19.10.2018","age","24-27","",1
"19.10.2018","gender_age","М","24-27",1
"19.10.2018","cities","Санкт-Петербург","",1
"19.10.2018","countries","Россия","",1
"18.10.2018","views","","",4
"18.10.2018","visitors","","",3
"18.10.2018","gender","Ж","",1
"18.10.2018","gender","М","",2
"18.10.2018","age","21-24","",1
"18.10.2018","age","45+","",1
"18.10.2018","gender_age","Ж","45+",1
"18.10.2018","gender_age","М","21-24",1
"18.10.2018","cities","Санкт-Петербург","",1
"18.10.2018","countries","Россия","",3
"17.10.2018","views","","",2
"17.10.2018","visitors","","",2
"17.10.2018","gender","Ж","",1
"17.10.2018","gender","М","",1
"17.10.2018","age","18-21","",1
"17.10.2018","age","21-24","",1
"17.10.2018","gender_age","Ж","18-21",1
"17.10.2018","gender_age","М","21-24",1
"17.10.2018","cities","Воронеж","",1
"17.10.2018","cities","Санкт-Петербург","",1
"17.10.2018","countries","Россия","",2
"17.10.2018","members","Вышедшие участники","",1
"15.10.2018","views","","",4
"15.10.2018","visitors","","",3
"15.10.2018","gender","М","",3
"15.10.2018","age","21-24","",1
"15.10.2018","age","24-27","",1
"15.10.2018","gender_age","М","21-24",1
"15.10.2018","gender_age","М","24-27",1
"15.10.2018","cities","Санкт-Петербург","",1
"15.10.2018","cities","Москва","",1
"15.10.2018","cities","Самара","",1
"15.10.2018","countries","Россия","",3
"15.10.2018","sections","Видеозаписи","",1
"14.10.2018","views","","",1
"14.10.2018","visitors","","",1
"14.10.2018","gender","Ж","",1
"14.10.2018","age","45+","",1
"14.10.2018","gender_age","Ж","45+",1
"14.10.2018","cities","Воронеж","",1
"14.10.2018","countries","Россия","",1
"12.10.2018","views","","",1
"12.10.2018","visitors","","",1
"12.10.2018","gender","М","",1
"12.10.2018","age","21-24","",1
"12.10.2018","gender_age","М","21-24",1
"12.10.2018","cities","Санкт-Петербург","",1
"12.10.2018","countries","Россия","",1
"11.10.2018","views","","",5
"11.10.2018","visitors","","",4
"11.10.2018","gender","Ж","",2
"11.10.2018","gender","М","",2
"11.10.2018","age","21-24","",3
"11.10.2018","age","45+","",1
"11.10.2018","gender_age","Ж","21-24",1
"11.10.2018","gender_age","Ж","45+",1
"11.10.2018","gender_age","М","21-24",2
"11.10.2018","cities","Санкт-Петербург","",1
"11.10.2018","cities","Волгоград","",1
"11.10.2018","countries","Россия","",4
"10.10.2018","views","","",5
"10.10.2018","visitors","","",3
"10.10.2018","gender","М","",3
"10.10.2018","age","24-27","",2
"10.10.2018","age","35-45","",1
"10.10.2018","gender_age","М","24-27",2
"10.10.2018","gender_age","М","35-45",1
"10.10.2018","cities","Тюмень","",1
"10.10.2018","countries","Россия","",3
"09.10.2018","views","","",1
"09.10.2018","visitors","","",1
"09.10.2018","gender","Ж","",1
"09.10.2018","countries","Россия","",1
"08.10.2018","views","","",2
"08.10.2018","visitors","","",2
"08.10.2018","gender","М","",2
"08.10.2018","age","21-24","",1
"08.10.2018","age","35-45","",1
"08.10.2018","gender_age","М","21-24",1
"08.10.2018","gender_age","М","35-45",1
"08.10.2018","cities","Нур-Султан / Астана","",1
"08.10.2018","countries","Россия","",1
"08.10.2018","countries","Казахстан","",1
"07.10.2018","views","","",4
"07.10.2018","visitors","","",1
"07.10.2018","gender","М","",1
"07.10.2018","age","45+","",1
"07.10.2018","gender_age","М","45+",1
"07.10.2018","cities","Санкт-Петербург","",1
"07.10.2018","countries","Россия","",1
"07.10.2018","sections","Обсуждения","",1
"07.10.2018","members","Вышедшие участники","",1
"06.10.2018","views","","",0
"06.10.2018","visitors","","",0
"06.10.2018","members","Вышедшие участники","",1
"05.10.2018","views","","",1
"05.10.2018","visitors","","",1
"05.10.2018","gender","М","",1
"05.10.2018","age","45+","",1
"05.10.2018","gender_age","М","45+",1
"05.10.2018","cities","Москва","",1
"05.10.2018","countries","Россия","",1
"03.10.2018","views","","",10
"03.10.2018","visitors","","",2
"03.10.2018","gender","Ж","",1
"03.10.2018","gender","М","",1
"03.10.2018","age","18-21","",1
"03.10.2018","age","45+","",1
"03.10.2018","gender_age","Ж","45+",1
"03.10.2018","gender_age","М","18-21",1
"03.10.2018","countries","Россия","",2
"02.10.2018","views","","",4
"02.10.2018","visitors","","",2
"02.10.2018","gender","М","",1
"02.10.2018","age","21-24","",1
"02.10.2018","gender_age","М","21-24",1
"02.10.2018","cities","Воронеж","",1
"02.10.2018","countries","Великобритания","",1
"02.10.2018","countries","Россия","",1
"01.10.2018","views","","",1
"01.10.2018","visitors","","",1
"01.10.2018","gender","Ж","",1
"01.10.2018","age","1-18","",1
"01.10.2018","gender_age","Ж","1-18",1
"01.10.2018","cities","Санкт-Петербург","",1
"01.10.2018","countries","Россия","",1
"29.09.2018","views","","",22
"29.09.2018","visitors","","",3
"29.09.2018","gender","М","",3
"29.09.2018","age","18-21","",2
"29.09.2018","age","21-24","",1
"29.09.2018","gender_age","М","18-21",2
"29.09.2018","gender_age","М","21-24",1
"29.09.2018","cities","Санкт-Петербург","",2
"29.09.2018","cities","Дербент","",1
"29.09.2018","countries","Россия","",3
"29.09.2018","sections","Обсуждения","",1
"29.09.2018","sections","Видеозаписи","",2
"29.09.2018","sections","Фотоальбомы","",16
"29.09.2018","members","Новые участники","",1
"29.09.2018","members","Вышедшие участники","",1
"28.09.2018","views","","",2
"28.09.2018","visitors","","",2
"28.09.2018","gender","М","",2
"28.09.2018","age","18-21","",1
"28.09.2018","age","30-35","",1
"28.09.2018","gender_age","М","18-21",1
"28.09.2018","gender_age","М","30-35",1
"28.09.2018","cities","Цимлянск","",1
"28.09.2018","cities","Новосибирск","",1
"28.09.2018","countries","Россия","",2
"27.09.2018","views","","",2
"27.09.2018","visitors","","",2
"27.09.2018","gender","Ж","",2
"27.09.2018","age","21-24","",1
"27.09.2018","gender_age","Ж","21-24",1
"27.09.2018","cities","Санкт-Петербург","",1
"27.09.2018","cities","Москва","",1
"27.09.2018","countries","Россия","",2
"26.09.2018","views","","",4
"26.09.2018","visitors","","",4
"26.09.2018","gender","Ж","",1
"26.09.2018","gender","М","",2
"26.09.2018","age","21-24","",2
"26.09.2018","age","27-30","",1
"26.09.2018","gender_age","Ж","21-24",1
"26.09.2018","gender_age","М","21-24",1
"26.09.2018","gender_age","М","27-30",1
"26.09.2018","cities","Санкт-Петербург","",2
"26.09.2018","countries","Россия","",4
"24.09.2018","views","","",1
"24.09.2018","visitors","","",1
"24.09.2018","gender","Ж","",1
"24.09.2018","age","45+","",1
"24.09.2018","gender_age","Ж","45+",1
"24.09.2018","countries","Россия","",1
"23.09.2018","views","","",2
"23.09.2018","visitors","","",2
"23.09.2018","gender","М","",1
"23.09.2018","age","21-24","",1
"23.09.2018","gender_age","М","21-24",1
"23.09.2018","cities","Санкт-Петербург","",1
"23.09.2018","countries","Азербайджан","",1
"23.09.2018","countries","Россия","",1
"23.09.2018","members","Вышедшие участники","",1
"22.09.2018","views","","",1
"22.09.2018","visitors","","",1
"22.09.2018","gender","М","",1
"22.09.2018","age","35-45","",1
"22.09.2018","gender_age","М","35-45",1
"22.09.2018","cities","Раменское","",1
"22.09.2018","countries","Россия","",1
"22.09.2018","members","Новые участники","",1
"21.09.2018","views","","",2
"21.09.2018","visitors","","",2
"21.09.2018","gender","М","",2
"21.09.2018","age","18-21","",1
"21.09.2018","age","35-45","",1
"21.09.2018","gender_age","М","18-21",1
"21.09.2018","gender_age","М","35-45",1
"21.09.2018","cities","Раменское","",1
"21.09.2018","countries","Россия","",2
"20.09.2018","views","","",4
"20.09.2018","visitors","","",4
"20.09.2018","gender","Ж","",2
"20.09.2018","gender","М","",1
"20.09.2018","age","21-24","",1
"20.09.2018","age","24-27","",1
"20.09.2018","gender_age","Ж","24-27",1
"20.09.2018","gender_age","М","21-24",1
"20.09.2018","countries","Россия","",3
"20.09.2018","countries","","",1
"20.09.2018","members","Новые участники","",1
"19.09.2018","views","","",5
"19.09.2018","visitors","","",5
"19.09.2018","gender","Ж","",2
"19.09.2018","gender","М","",2
"19.09.2018","age","21-24","",2
"19.09.2018","age","30-35","",2
"19.09.2018","gender_age","Ж","21-24",1
"19.09.2018","gender_age","Ж","30-35",1
"19.09.2018","gender_age","М","21-24",1
"19.09.2018","gender_age","М","30-35",1
"19.09.2018","cities","Санкт-Петербург","",2
"19.09.2018","cities","Москва","",1
"19.09.2018","cities","Брянск","",1
"19.09.2018","countries","Россия","",5
"18.09.2018","views","","",1
"18.09.2018","visitors","","",1
"18.09.2018","gender","М","",1
"18.09.2018","age","1-18","",1
"18.09.2018","gender_age","М","1-18",1
"18.09.2018","countries","Индонезия","",1
"18.09.2018","members","Новые участники","",1
"17.09.2018","views","","",1
"17.09.2018","visitors","","",1
"17.09.2018","gender","М","",1
"17.09.2018","age","21-24","",1
"17.09.2018","gender_age","М","21-24",1
"17.09.2018","cities","Волгоград","",1
"17.09.2018","countries","Россия","",1
"16.09.2018","views","","",3
"16.09.2018","visitors","","",3
"16.09.2018","gender","Ж","",2
"16.09.2018","gender","М","",1
"16.09.2018","age","21-24","",1
"16.09.2018","gender_age","Ж","21-24",1
"16.09.2018","cities","Санкт-Петербург","",1
"16.09.2018","cities","Новочебоксарск","",1
"16.09.2018","countries","Россия","",3
"15.09.2018","views","","",10
"15.09.2018","visitors","","",3
"15.09.2018","gender","М","",3
"15.09.2018","age","27-30","",1
"15.09.2018","age","45+","",2
"15.09.2018","gender_age","М","27-30",1
"15.09.2018","gender_age","М","45+",2
"15.09.2018","cities","Никополь","",1
"15.09.2018","cities","Ставрополь","",1
"15.09.2018","countries","Россия","",3
"15.09.2018","sections","Видеозаписи","",2
"15.09.2018","members","Новые участники","",2
"14.09.2018","views","","",1
"14.09.2018","visitors","","",1
"14.09.2018","countries","Россия","",1
"12.09.2018","views","","",1
"12.09.2018","visitors","","",1
"12.09.2018","countries","Россия","",1
"11.09.2018","views","","",2
"11.09.2018","visitors","","",2
"11.09.2018","gender","Ж","",1
"11.09.2018","gender","М","",1
"11.09.2018","age","18-21","",1
"11.09.2018","age","21-24","",1
"11.09.2018","gender_age","Ж","18-21",1
"11.09.2018","gender_age","М","21-24",1
"11.09.2018","cities","Санкт-Петербург","",1
"11.09.2018","countries","Россия","",2
"11.09.2018","members","Вышедшие участники","",1
"10.09.2018","views","","",2
"10.09.2018","visitors","","",2
"10.09.2018","gender","Ж","",1
"10.09.2018","gender","М","",1
"10.09.2018","age","24-27","",1
"10.09.2018","age","30-35","",1
"10.09.2018","gender_age","Ж","30-35",1
"10.09.2018","gender_age","М","24-27",1
"10.09.2018","cities","Баку","",1
"10.09.2018","countries","Азербайджан","",1
"10.09.2018","countries","Россия","",1
"09.09.2018","views","","",3
"09.09.2018","visitors","","",3
"09.09.2018","gender","Ж","",1
"09.09.2018","gender","М","",2
"09.09.2018","age","1-18","",1
"09.09.2018","age","24-27","",1
"09.09.2018","gender_age","М","1-18",1
"09.09.2018","gender_age","М","24-27",1
"09.09.2018","countries","Россия","",3
"08.09.2018","views","","",4
"08.09.2018","visitors","","",3
"08.09.2018","gender","Ж","",1
"08.09.2018","gender","М","",2
"08.09.2018","age","18-21","",2
"08.09.2018","age","45+","",1
"08.09.2018","gender_age","Ж","18-21",1
"08.09.2018","gender_age","М","18-21",1
"08.09.2018","gender_age","М","45+",1
"08.09.2018","cities","Санкт-Петербург","",1
"08.09.2018","cities","Москва","",1
"08.09.2018","cities","Истра","",1
"08.09.2018","countries","Россия","",3
"07.09.2018","views","","",3
"07.09.2018","visitors","","",3
"07.09.2018","gender","Ж","",1
"07.09.2018","gender","М","",2
"07.09.2018","age","1-18","",1
"07.09.2018","age","30-35","",1
"07.09.2018","age","45+","",1
"07.09.2018","gender_age","Ж","1-18",1
"07.09.2018","gender_age","М","30-35",1
"07.09.2018","gender_age","М","45+",1
"07.09.2018","cities","Астрахань","",1
"07.09.2018","cities","Тверь","",1
"07.09.2018","countries","Россия","",3
"07.09.2018","members","Новые участники","",1
"06.09.2018","views","","",1
"06.09.2018","visitors","","",1
"06.09.2018","gender","М","",1
"06.09.2018","age","18-21","",1
"06.09.2018","gender_age","М","18-21",1
"06.09.2018","cities","Санкт-Петербург","",1
"06.09.2018","countries","Россия","",1
"05.09.2018","views","","",5
"05.09.2018","visitors","","",4
"05.09.2018","gender","Ж","",2
"05.09.2018","gender","М","",2
"05.09.2018","age","18-21","",1
"05.09.2018","age","21-24","",2
"05.09.2018","age","45+","",1
"05.09.2018","gender_age","Ж","18-21",1
"05.09.2018","gender_age","Ж","45+",1
"05.09.2018","gender_age","М","21-24",2
"05.09.2018","cities","Санкт-Петербург","",3
"05.09.2018","countries","Россия","",4
"05.09.2018","sections","Обсуждения","",1
"04.09.2018","views","","",1
"04.09.2018","visitors","","",1
"04.09.2018","gender","Ж","",1
"04.09.2018","age","18-21","",1
"04.09.2018","gender_age","Ж","18-21",1
"04.09.2018","cities","Санкт-Петербург","",1
"04.09.2018","countries","Россия","",1
"03.09.2018","views","","",1
"03.09.2018","visitors","","",1
"03.09.2018","gender","М","",1
"03.09.2018","age","27-30","",1
"03.09.2018","gender_age","М","27-30",1
"03.09.2018","cities","Санкт-Петербург","",1
"03.09.2018","countries","Россия","",1
"02.09.2018","views","","",2
"02.09.2018","visitors","","",2
"02.09.2018","gender","Ж","",2
"02.09.2018","age","21-24","",1
"02.09.2018","gender_age","Ж","21-24",1
"02.09.2018","cities","Санкт-Петербург","",1
"02.09.2018","countries","Россия","",2
"30.08.2018","views","","",3
"30.08.2018","visitors","","",3
"30.08.2018","gender","Ж","",3
"30.08.2018","age","18-21","",3
"30.08.2018","gender_age","Ж","18-21",3
"30.08.2018","cities","Санкт-Петербург","",1
"30.08.2018","cities","Киров","",1
"30.08.2018","countries","Россия","",3
"28.08.2018","views","","",4
"28.08.2018","visitors","","",3
"28.08.2018","gender","Ж","",1
"28.08.2018","gender","М","",1
"28.08.2018","age","24-27","",1
"28.08.2018","age","45+","",1
"28.08.2018","gender_age","Ж","24-27",1
"28.08.2018","gender_age","М","45+",1
"28.08.2018","cities","Ульяновск","",1
"28.08.2018","cities","Los Angeles","",1
"28.08.2018","countries","Россия","",3
"28.08.2018","sections","Видеозаписи","",1
"28.08.2018","members","Вышедшие участники","",1
"27.08.2018","views","","",3
"27.08.2018","visitors","","",3
"27.08.2018","gender","Ж","",3
"27.08.2018","age","18-21","",1
"27.08.2018","age","45+","",1
"27.08.2018","gender_age","Ж","18-21",1
"27.08.2018","gender_age","Ж","45+",1
"27.08.2018","cities","Санкт-Петербург","",2
"27.08.2018","cities","Москва","",1
"27.08.2018","countries","Россия","",3
"26.08.2018","views","","",2
"26.08.2018","visitors","","",2
"26.08.2018","gender","Ж","",2
"26.08.2018","age","21-24","",1
"26.08.2018","age","24-27","",1
"26.08.2018","gender_age","Ж","21-24",1
"26.08.2018","gender_age","Ж","24-27",1
"26.08.2018","cities","Ульяновск","",1
"26.08.2018","cities","Seoul","",1
"26.08.2018","countries","Россия","",2
"25.08.2018","views","","",1
"25.08.2018","visitors","","",1
"25.08.2018","gender","М","",1
"25.08.2018","age","18-21","",1
"25.08.2018","gender_age","М","18-21",1
"25.08.2018","cities","Киев","",1
"25.08.2018","countries","Россия","",1
"24.08.2018","views","","",1
"24.08.2018","visitors","","",1
"24.08.2018","gender","Ж","",1
"24.08.2018","age","35-45","",1
"24.08.2018","gender_age","Ж","35-45",1
"24.08.2018","cities","Каневская","",1
"24.08.2018","countries","Россия","",1
"21.08.2018","views","","",3
"21.08.2018","visitors","","",3
"21.08.2018","gender","Ж","",3
"21.08.2018","age","18-21","",1
"21.08.2018","age","30-35","",1
"21.08.2018","age","45+","",1
"21.08.2018","gender_age","Ж","18-21",1
"21.08.2018","gender_age","Ж","30-35",1
"21.08.2018","gender_age","Ж","45+",1
"21.08.2018","cities","Нур-Султан / Астана","",1
"21.08.2018","cities","Белореченск","",1
"21.08.2018","countries","Россия","",2
"21.08.2018","countries","Казахстан","",1
"20.08.2018","views","","",3
"20.08.2018","visitors","","",2
"20.08.2018","gender","Ж","",1
"20.08.2018","age","24-27","",1
"20.08.2018","gender_age","Ж","24-27",1
"20.08.2018","cities","Москва","",1
"20.08.2018","countries","Россия","",2
"19.08.2018","views","","",1
"19.08.2018","visitors","","",1
"19.08.2018","gender","Ж","",1
"19.08.2018","age","30-35","",1
"19.08.2018","gender_age","Ж","30-35",1
"19.08.2018","countries","Россия","",1
"17.08.2018","views","","",1
"17.08.2018","visitors","","",1
"17.08.2018","gender","М","",1
"17.08.2018","age","24-27","",1
"17.08.2018","gender_age","М","24-27",1
"17.08.2018","cities","Санкт-Петербург","",1
"17.08.2018","countries","Россия","",1
"16.08.2018","views","","",1
"16.08.2018","visitors","","",1
"16.08.2018","gender","М","",1
"16.08.2018","age","21-24","",1
"16.08.2018","gender_age","М","21-24",1
"16.08.2018","cities","Санкт-Петербург","",1
"16.08.2018","countries","Россия","",1
"15.08.2018","views","","",2
"15.08.2018","visitors","","",2
"15.08.2018","gender","М","",2
"15.08.2018","age","24-27","",1
"15.08.2018","age","30-35","",1
"15.08.2018","gender_age","М","24-27",1
"15.08.2018","gender_age","М","30-35",1
"15.08.2018","cities","Санкт-Петербург","",1
"15.08.2018","countries","Россия","",2
"12.08.2018","views","","",3
"12.08.2018","visitors","","",3
"12.08.2018","gender","Ж","",2
"12.08.2018","gender","М","",1
"12.08.2018","age","24-27","",2
"12.08.2018","age","45+","",1
"12.08.2018","gender_age","Ж","24-27",1
"12.08.2018","gender_age","Ж","45+",1
"12.08.2018","gender_age","М","24-27",1
"12.08.2018","cities","Санкт-Петербург","",2
"12.08.2018","cities","Ульяновск","",1
"12.08.2018","countries","Россия","",3
"11.08.2018","views","","",2
"11.08.2018","visitors","","",2
"11.08.2018","gender","Ж","",1
"11.08.2018","gender","М","",1
"11.08.2018","age","18-21","",1
"11.08.2018","age","21-24","",1
"11.08.2018","gender_age","Ж","18-21",1
"11.08.2018","gender_age","М","21-24",1
"11.08.2018","cities","Санкт-Петербург","",1
"11.08.2018","cities","Чебоксары","",1
"11.08.2018","countries","Россия","",2
"09.08.2018","views","","",5
"09.08.2018","visitors","","",2
"09.08.2018","gender","М","",2
"09.08.2018","age","24-27","",1
"09.08.2018","age","45+","",1
"09.08.2018","gender_age","М","24-27",1
"09.08.2018","gender_age","М","45+",1
"09.08.2018","cities","Санкт-Петербург","",1
"09.08.2018","countries","Россия","",2
"07.08.2018","views","","",1
"07.08.2018","visitors","","",1
"07.08.2018","gender","Ж","",1
"07.08.2018","age","30-35","",1
"07.08.2018","gender_age","Ж","30-35",1
"07.08.2018","cities","Магнитогорск","",1
"07.08.2018","countries","Россия","",1
"06.08.2018","views","","",5
"06.08.2018","visitors","","",5
"06.08.2018","gender","Ж","",3
"06.08.2018","gender","М","",2
"06.08.2018","age","18-21","",1
"06.08.2018","age","24-27","",2
"06.08.2018","age","27-30","",1
"06.08.2018","age","45+","",1
"06.08.2018","gender_age","Ж","18-21",1
"06.08.2018","gender_age","Ж","27-30",1
"06.08.2018","gender_age","Ж","45+",1
"06.08.2018","gender_age","М","24-27",2
"06.08.2018","cities","Санкт-Петербург","",4
"06.08.2018","cities","Иркутск","",1
"06.08.2018","countries","Россия","",5
"06.08.2018","members","Вышедшие участники","",2
"05.08.2018","views","","",4
"05.08.2018","visitors","","",3
"05.08.2018","gender","Ж","",3
"05.08.2018","age","18-21","",1
"05.08.2018","age","21-24","",1
"05.08.2018","gender_age","Ж","18-21",1
"05.08.2018","gender_age","Ж","21-24",1
"05.08.2018","cities","Санкт-Петербург","",2
"05.08.2018","cities","Новоуральск","",1
"05.08.2018","countries","Россия","",3
"05.08.2018","sections","Фотоальбомы","",1
"05.08.2018","members","Вышедшие участники","",1
"02.08.2018","views","","",3
"02.08.2018","visitors","","",2
"02.08.2018","gender","Ж","",1
"02.08.2018","gender","М","",1
"02.08.2018","age","18-21","",1
"02.08.2018","age","35-45","",1
"02.08.2018","gender_age","Ж","35-45",1
"02.08.2018","gender_age","М","18-21",1
"02.08.2018","cities","Санкт-Петербург","",2
"02.08.2018","countries","Россия","",1
"02.08.2018","countries","Испания","",1
"01.08.2018","views","","",3
"01.08.2018","visitors","","",3
"01.08.2018","gender","Ж","",1
"01.08.2018","gender","М","",2
"01.08.2018","age","18-21","",1
"01.08.2018","age","24-27","",1
"01.08.2018","age","45+","",1
"01.08.2018","gender_age","Ж","24-27",1
"01.08.2018","gender_age","М","18-21",1
"01.08.2018","gender_age","М","45+",1
"01.08.2018","cities","Челябинск","",1
"01.08.2018","cities","Санкт-Петербург","",1
"01.08.2018","cities","Саратов","",1
"01.08.2018","countries","Россия","",3
"31.07.2018","views","","",1
"31.07.2018","visitors","","",1
"31.07.2018","gender","Ж","",1
"31.07.2018","cities","Иваново","",1
"31.07.2018","countries","Россия","",1
"31.07.2018","members","Вышедшие участники","",1
"30.07.2018","views","","",3
"30.07.2018","visitors","","",2
"30.07.2018","gender","Ж","",1
"30.07.2018","gender","М","",1
"30.07.2018","age","18-21","",2
"30.07.2018","gender_age","Ж","18-21",1
"30.07.2018","gender_age","М","18-21",1
"30.07.2018","cities","Сургут","",1
"30.07.2018","cities","Санкт-Петербург","",1
"30.07.2018","countries","Россия","",2
"30.07.2018","sections","Фотоальбомы","",1
"29.07.2018","views","","",4
"29.07.2018","visitors","","",3
"29.07.2018","gender","М","",2
"29.07.2018","age","18-21","",1
"29.07.2018","age","21-24","",1
"29.07.2018","gender_age","М","18-21",1
"29.07.2018","gender_age","М","21-24",1
"29.07.2018","cities","Ялта","",1
"29.07.2018","countries","Россия","",2
"29.07.2018","countries","США","",1
"28.07.2018","views","","",8
"28.07.2018","visitors","","",4
"28.07.2018","gender","М","",3
"28.07.2018","age","18-21","",2
"28.07.2018","age","24-27","",1
"28.07.2018","gender_age","М","18-21",2
"28.07.2018","gender_age","М","24-27",1
"28.07.2018","cities","Санкт-Петербург","",1
"28.07.2018","cities","Оренбург","",1
"28.07.2018","countries","Россия","",4
"27.07.2018","views","","",2
"27.07.2018","visitors","","",2
"27.07.2018","gender","Ж","",1
"27.07.2018","gender","М","",1
"27.07.2018","age","24-27","",1
"27.07.2018","age","27-30","",1
"27.07.2018","gender_age","Ж","27-30",1
"27.07.2018","gender_age","М","24-27",1
"27.07.2018","cities","Санкт-Петербург","",2
"27.07.2018","countries","Россия","",2
"26.07.2018","views","","",1
"26.07.2018","visitors","","",1
"26.07.2018","gender","М","",1
"26.07.2018","age","18-21","",1
"26.07.2018","gender_age","М","18-21",1
"26.07.2018","cities","Санкт-Петербург","",1
"26.07.2018","countries","Россия","",1
"25.07.2018","views","","",2
"25.07.2018","visitors","","",2
"25.07.2018","gender","Ж","",1
"25.07.2018","gender","М","",1
"25.07.2018","age","27-30","",1
"25.07.2018","age","45+","",1
"25.07.2018","gender_age","Ж","45+",1
"25.07.2018","gender_age","М","27-30",1
"25.07.2018","cities","Trondheim","",1
"25.07.2018","countries","Россия","",2
"23.07.2018","views","","",1
"23.07.2018","visitors","","",1
"23.07.2018","gender","М","",1
"23.07.2018","age","35-45","",1
"23.07.2018","gender_age","М","35-45",1
"23.07.2018","countries","Россия","",1
"23.07.2018","members","Вышедшие участники","",1
"22.07.2018","views","","",2
"22.07.2018","visitors","","",2
